appID,name,release_date,developers,publishers,genres,tags,positive,negative,total_reviews,rating_ratio,estimated_owners,owners_mid,price,metacritic_score,user_score,tier,label_rating,release_year,label_sales
2070550,A Castle Full of Cats,2022-11-09,['Devcats'],['Devcats'],['Adventure' 'Casual'],[],3986,23,4009,0.994262908455974,100000 - 200000,150000.0,2.39,0,0,indie,1,2022,1
1260520,Patrick's Parabox,2022-03-29,['Patrick Traynor'],['Patrick Traynor'],['Casual' 'Indie' 'Strategy'],[],4437,35,4472,0.9921735241502684,100000 - 200000,150000.0,9.99,0,0,indie,1,2022,1
1794680,Vampire Survivors,2022-10-20,['poncle'],['poncle'],['Action' 'Casual' 'Indie' 'RPG'],[],246479,3855,250334,0.9846005736336256,5000000 - 10000000,7500000.0,3.74,86,0,AAA,1,2022,1
1145360,Hades,2020-09-17,['Supergiant Games'],['Supergiant Games'],['Action' 'Indie' 'RPG'],[],274829,4912,279741,0.9824409006902812,5000000 - 10000000,7500000.0,7.49,93,0,AAA,1,2020,1
1434480,Maitetsu:Last Run!!,2020-10-30,['Lose'],['HIKARI FIELD'],['Adventure' 'Casual'],[],4537,83,4620,0.982034632034632,100000 - 200000,150000.0,15.39,0,0,indie,1,2020,1
1669980,Volcano Princess,2023-04-20,['养蛋人 Egg Hatcher'],['养蛋人 Egg Hatcher'],['Casual' 'Indie' 'RPG' 'Simulation' 'Strategy'],[],40290,890,41180,0.9783875667799904,1000000 - 2000000,1500000.0,7.47,0,0,AA,1,2023,1
1229490,ULTRAKILL,2020-09-03,"['Arsi ""Hakita"" Patala']",['New Blood Interactive'],['Action' 'Indie' 'Early Access'],[],165867,3884,169751,0.9771194278678772,5000000 - 10000000,7500000.0,17.49,0,0,AAA,1,2020,1
1202540,Marco & The Galaxy Dragon,2020-02-28,['TOKYOTOON'],['Shiravune'],['Adventure' 'Casual' 'Simulation'],[],6892,176,7068,0.975099037917374,50000 - 100000,75000.0,5.99,0,0,indie,1,2020,0
2513280,SONIC X SHADOW GENERATIONS,2024-10-24,['Sonic Team'],['SEGA'],['Action'],[],12161,325,12486,0.9739708473490308,100000 - 200000,150000.0,24.99,0,0,indie,1,2024,1
1955830,Touhou Hero of Ice Fairy,2024-04-03,['GAMEPULSE 游戏脉冲'],['GAMEPULSE 游戏脉冲'],['Action' 'Adventure' 'Indie' 'RPG'],[],6899,186,7085,0.9737473535638672,100000 - 200000,150000.0,3.98,0,0,indie,1,2024,1
548430,Deep Rock Galactic,2020-05-13,['Ghost Ship Games'],['Coffee Stain Publishing'],['Action'],[],333587,9413,343000,0.9725568513119534,5000000 - 10000000,7500000.0,8.99,85,0,AAA,1,2020,1
1150690,OMORI,2020-12-25,"['OMOCAT, LLC']","['OMOCAT, LLC']",['Adventure' 'Indie' 'RPG'],[],78023,2214,80237,0.9724067450178844,1000000 - 2000000,1500000.0,19.99,87,0,AA,1,2020,1
526870,Satisfactory,2024-09-10,['Coffee Stain Studios'],['Coffee Stain Publishing'],['Adventure' 'Indie' 'Simulation' 'Strategy'],[],225479,6585,232064,0.9716242071152784,10000000 - 20000000,15000000.0,27.99,91,0,AAA,1,2024,1
1113000,Persona 4 Golden,2020-06-13,['ATLUS'],['SEGA'],['RPG'],[],76008,2338,78346,0.9701580170015062,1000000 - 2000000,1500000.0,9.99,87,0,AA,1,2020,1
1086940,Baldur's Gate 3,2023-08-03,['Larian Studios'],['Larian Studios'],['Adventure' 'RPG' 'Strategy'],[],736688,23974,760662,0.9684827163707402,20000000 - 50000000,35000000.0,44.99,96,0,AAA,1,2023,1
2358720,Black Myth: Wukong,2024-08-19,['Game Science'],['Game Science'],['Action' 'Adventure' 'RPG'],[],1111720,38378,1150098,0.9666306697342314,50000000 - 100000000,75000000.0,59.99,0,0,AAA,1,2024,1
1211630,The Jackbox Party Pack 7,2020-10-14,"['Jackbox Games, Inc.']","['Jackbox Games, Inc.']",['Casual' 'Indie' 'Strategy'],[],4507,158,4665,0.9661307609860664,100000 - 200000,150000.0,17.99,0,0,indie,1,2020,1
584640,SUPER CHICKEN JUMPER,2021-09-24,['Sewer Cat' 'Heavy Sheep'],['Sewer Cat'],['Action' 'Adventure' 'Casual' 'Indie' 'Racing'],[],4798,184,4982,0.963067041348856,100000 - 200000,150000.0,0.74,0,0,indie,1,2021,1
1284190,The Planet Crafter,2024-04-10,['Miju Games'],['Miju Games'],['Adventure'],[],52168,2148,54316,0.9604536416525518,1000000 - 2000000,1500000.0,11.99,0,0,AA,1,2024,1
2637990,Duck Detective: The Secret Salami,2024-05-23,['Happy Broccoli Games'],['Happy Broccoli Games'],['Adventure' 'Casual' 'Indie'],[],4870,220,5090,0.9567779960707268,100000 - 200000,150000.0,6.99,0,0,indie,1,2024,1
